group_name,discipline_code_suggested,discipline_title,source_sheets,check_ok,review_comment
ИН-23-22,HTP-052,Процессы и аппараты химической технологии,2025-2026 уч.год,,
ИН-23-23,HTP-052,Процессы и аппараты химической технологии,2025-2026 уч.год,,
ИН-23-24,HTP-052,Процессы и аппараты химической технологии,2025-2026 уч.год,,
ОНГ-23,HTP-035,Основы химической технологии,2025-2026 уч.год,,
СТХ-24,HTP-002,Дополнительные главы процессов и аппаратов химической технологии,2024-2025 уч.год,,
СТХ-24,HTP-056,Процессы тепло- и массопереноса в гетерогенных системах,2025-2026 уч.год,,
СТХ-25,HTP-002,Дополнительные главы процессов и аппаратов химической технологии,2025-2026 уч.год,,
ТНГ-22,HTP-108,Химия нефти и газа,2024-2025 уч.год,,
ТХ-18-1,HTP-001,Высокотемпературные процессы химической технологии,2021-2022,,
ТХ-18-1,HTP-009,Коррозия и защита химико-технологических производств [выбранные дисциплины] 22+22 чел.,2021-2022,,
ТХ-18-1,HTP-017,Моделирование химико-технологических процессов [выбранные дисциплины] 22+22 чел.,2021-2022,,
ТХ-18-1,HTP-052,Процессы и аппараты химической технологии,2021-2022,,
